0,3539
-0,1208
-0,2964
0,2644
0,2434
-0,3529
-0,0183
0,3839
-0,1175
-0,3392
0,2707
0,2922
-0,3837
-0,0460
0,4203
-0,1100
-0,3999
0,2681
0,3650
-0,3809
-0,1059
0,4352
-0,0574
-0,4500
0,1997
0,4336
-0,2551
-0,2090
0,3588
0,1029
-0,3710
0,0870
0,3730
-0,2009
-0,2513
0,3241
0,1688
-0,3682
0,0553
0,3783
-0,1780
-0,2794
0,3120
0,2075
-0,3803
0,0339
0,3956
-0,1676
-0,3113
0,3110
0,2468
-0,4080
0,0164
0,4263
-0,1669
-0,3545
0,3193
0,2979
-0,4712
0,00064
0,4879
-0,1872
-0,4294
0,3460
0,3882
-0,7147
-0,0387
0,6686
-0,3152
-0,3191
0,4578
0,2057
-0,2355
-0,2152
0,3433
0,1173
-0,3642
0,0825
0,3673
-0,1960
-0,2500
0,3191
0,1691
-0,3653
0,0540
0,3758
-0,1762
-0,2782
0,3099
0,2067
-0,3784
0,0332
0,3939
-0,1663
-0,3103
0,3096
0,2460
-0,4060
0,0158
0,4246
