0,3105
-0,1599
-0,2604
0,2695
0,1338
-0,3549
0,0578
0,3192
-0,2131
-0,2266
0,3058
0,0772
-0,3609
0,0981
0,3110
-0,2457
-0,1905
0,3204
0,0282
-0,3627
0,1323
0,3011
-0,2760
-0,1568
0,3334
-0,0164
-0,3662
0,1681
0,2929
-0,3137
-0,1211
0,3522
-0,0650
-0,3736
0,2113
0,2867
-0,3703
-0,0770
0,3850
-0,1270
-0,3859
0,2714
0,2815
-0,4766
-0,0065
0,4544
-0,2171
-0,3832
0,3626
0,2469
-0,3406
0,0498
0,3080
-0,2028
-0,2232
0,2945
0,0790
-0,3532
0,0960
0,3039
-0,2423
-0,1864
0,3154
0,0263
-0,3577
0,1339
0,2954
-0,2768
-0,1510
0,3315
-0,0216
-0,3627
0,1726
0,2875
-0,3183
-0,1131
0,3529
-0,0736
-0,3708
0,2191
0,2810
-0,3807
-0,0650
0,3896
-0,1404
-0,3822
0,2844
0,2728
-0,4913
0,0141
0,4615
-0,2300
-0,3628
0,3715
0,2162
-0,3199
-0,0024
0,3079
-0,1566
-0,2599
